,CID,카테고리명,KDC분류,KDC분류명,GenreEnum
2272,85532,한중일한자시험(TOCK),37,교육학,EDUCATION
2273,34723,LEET:법학적성시험,36,법학,LAW
2274,34903,기출/모의고사,36,법학,LAW
2275,34902,논술,36,법학,LAW
2276,34904,로스쿨 기타,36,법학,LAW
2277,34900,언어이해,70,언어,LANGUAGE
2278,34901,추리논증,36,법학,LAW
2279,34724,MEET&DEET&PEET,37,교육학,EDUCATION
2280,34934,문제집/기타,37,교육학,EDUCATION
2281,34906,생물(자연과학추론1),40,자연과학,NATURAL_SCIENCE
2282,34905,언어추론/공간추론,70,언어,LANGUAGE
2283,34908,"자연과학추론2 (화학,물리,통계)",40,자연과학,NATURAL_SCIENCE
2284,34725,PSAT (행정고시),37,교육학,EDUCATION
2285,34914,기출/모의고사,37,교육학,EDUCATION
2286,34913,상황판단,37,교육학,EDUCATION
2287,34911,언어논리,70,언어,LANGUAGE
2288,34912,자료해석,37,교육학,EDUCATION
2289,34942,TESAT,37,교육학,EDUCATION
2290,1108,어린이,37,교육학,EDUCATION
2293,48867,과학 일반,41,수학,MATHEMATICS
2294,48868,과학자,41,수학,MATHEMATICS
2295,48869,생물과 생명,41,수학,MATHEMATICS
2296,49609,우리 몸,41,수학,MATHEMATICS
2297,48870,지구와 우주,41,수학,MATHEMATICS
2298,48871,초등 수학,41,수학,MATHEMATICS
2300,48872,환경 이야기,41,수학,MATHEMATICS
2301,48806,교과서 수록도서,37,교육학,EDUCATION
2302,48854,1학년,37,교육학,EDUCATION
2303,132636,2학기(2013~2016학년도),37,교육학,EDUCATION
2304,132634,1학기(2013~2016학년도),37,교육학,EDUCATION
2305,132500,1학기(2017~2020학년도),37,교육학,EDUCATION
2306,132501,2학기(2017~2020학년도),37,교육학,EDUCATION
2307,132504,국어 가,37,교육학,EDUCATION
2308,132505,국어 나,37,교육학,EDUCATION
2309,132506,국어 활동,37,교육학,EDUCATION
2310,137454,국어 가,37,교육학,EDUCATION
2311,137455,국어 나,37,교육학,EDUCATION
2312,137456,국어 활동,37,교육학,EDUCATION
2313,132661,국어 가,37,교육학,EDUCATION
2314,132662,국어 나,37,교육학,EDUCATION
2315,132663,국어활동 가,37,교육학,EDUCATION
2316,132664,국어활동 나,37,교육학,EDUCATION
2317,132665,통합 가족1,37,교육학,EDUCATION
2318,132666,통합 봄1,37,교육학,EDUCATION
2319,132667,통합 여름1,37,교육학,EDUCATION
2320,132668,통합 학교1,37,교육학,EDUCATION
2321,132673,통합 가을1,37,교육학,EDUCATION
2322,132674,통합 겨울1,37,교육학,EDUCATION
2323,132675,통합 우리나라1,37,교육학,EDUCATION
2324,132676,통합 이웃1,37,교육학,EDUCATION
2325,132669,국어 가,37,교육학,EDUCATION
2326,132670,국어 나,37,교육학,EDUCATION
2327,132671,국어활동 가,37,교육학,EDUCATION
2328,132672,국어활동 나,37,교육학,EDUCATION
2329,132685,국어 가,37,교육학,EDUCATION
2330,132686,국어 나,37,교육학,EDUCATION
2331,132687,국어활동 가,37,교육학,EDUCATION
2332,132688,국어활동 나,37,교육학,EDUCATION
2333,132689,통합 가을2,37,교육학,EDUCATION
2334,132690,통합 겨울2,37,교육학,EDUCATION
2335,132691,통합 우리나라2,37,교육학,EDUCATION
2336,132692,통합 이웃2,37,교육학,EDUCATION
2337,132677,국어 가,37,교육학,EDUCATION
2338,132678,국어 나,37,교육학,EDUCATION
2339,132679,국어활동 가,37,교육학,EDUCATION
2340,132680,국어활동 나,37,교육학,EDUCATION
2341,132681,통합 가족2,37,교육학,EDUCATION
2342,132682,통합 봄2,37,교육학,EDUCATION
2343,132683,통합 여름2,37,교육학,EDUCATION
2344,132684,통합 학교2,37,교육학,EDUCATION
2345,132507,국어 가,37,교육학,EDUCATION
2346,132508,국어 나,37,교육학,EDUCATION
2347,132509,국어 활동,37,교육학,EDUCATION
2348,137457,국어 가,37,교육학,EDUCATION
2349,137458,국어 나,37,교육학,EDUCATION
2350,137459,국어 활동,37,교육학,EDUCATION
2351,132635,1학기(2013~2016학년도),37,교육학,EDUCATION
2352,132637,2학기(2013~2016학년도),37,교육학,EDUCATION
2353,132502,1학기(2017~2020학년도),37,교육학,EDUCATION
2354,132503,2학기(2017~2020학년도),37,교육학,EDUCATION
2355,48855,2학년,37,교육학,EDUCATION
2356,48856,3학년,37,교육학,EDUCATION
2357,148567,2학기(2018~2020학년도),37,교육학,EDUCATION
2358,132638,1학기(2014~2017학년도),37,교육학,EDUCATION
2359,132639,2학기(2014~2017학년도),37,교육학,EDUCATION
2360,141955,1학기(2018~2020학년도),37,교육학,EDUCATION
2361,106775,국어 가,37,교육학,EDUCATION
2362,106776,국어 나,37,교육학,EDUCATION
2363,106777,국어활동 나,37,교육학,EDUCATION
2364,106778,국어활동 가,37,교육학,EDUCATION
2365,111866,국어활동 가,37,교육학,EDUCATION
2366,111867,국어활동 나,37,교육학,EDUCATION
2367,111864,국어 가,37,교육학,EDUCATION
2368,111865,국어 나,37,교육학,EDUCATION
2369,141957,국어 가,37,교육학,EDUCATION
